MonthYear_Date,ActionGeo_CountryCode,count
201707,BE,16067
201503,ER,1238
201703,LA,2474
201709,IS,59191
201709,KE,22070
201709,MH,183
201608,AM,12527
201504,LU,2877
201509,MJ,488
201510,GP,67
201512,CQ,39
201702,GZ,2002
201603,RS,126476
201512,AU,11597
201512,AE,21092
201512,KZ,5314
201611,NP,13167
201707,SA,40657
201707,UY,926
201510,OS,4032
201511,EC,3352
201509,SF,63916
201503,NI,155900
201503,CH,145173
201605,SP,30155
201605,CJ,1563
201709,SL,2459
201506,PE,6003
201610,WE,7215
201601,LU,2376
201707,FG,46
201702,AE,19107
201606,SZ,26405
201607,NG,3771
201607,EG,33459
201607,GQ,2505
201704,EG,49471
201708,MZ,2605
201503,LT,1690
201704,MA,771
201502,ST,230
201504,GR,33582
201611,SE,1069
201708,GA,4013
201505,MU,5762
201506,SE,1599
201701,MC,721
201504,ST,570
201606,CN,178
201702,MH,91
201506,GL,710
201508,AL,2913
201502,JA,16278
201502,FI,1586
201511,BR,21775
201511,CU,20045
201512,CB,10094
201510,HU,14893
201510,KG,4580
201511,RQ,2735
201612,HA,5876
201602,GR,37704
201612,GQ,2265
201601,GT,4471
201607,VM,27673
201604,VE,9035
201706,TD,5995
201610,GT,2439
201612,SI,1007
201504,GQ,2684
201504,TD,4596
201702,,138165
201503,UK,253487
201503,SY,75914
201705,FR,95277
201509,AF,55605
201503,ML,5201
201503,CU,19705
201612,VT,1412
201609,PL,16135
201602,LY,21844
201609,GK,986
201704,UG,18484
201512,BB,2170
201602,EC,5825
201604,CE,16083
201609,TW,12108
201708,ST,618
201708,MV,1336
201702,LT,1697
201610,AL,3480
201505,VQ,676
201506,EI,42322
201506,ML,4579
201507,NS,383
201708,RN,58
201705,PG,101
201612,GK,818
201707,FK,40
201606,TL,20
201507,SO,18826
201508,YI,116
201502,HO,557
201701,NP,10445
201702,DJ,2659
201507,ES,3396
201511,RP,70050
201512,SZ,21765
201512,ID,26402
201611,IR,66328
201707,FR,74316
201511,PA,844
201605,SY,103365
201705,TW,12096
201605,BE,22969
201601,YM,22389
201607,CW,780
201611,GY,6184
201604,ZA,11811
201609,FJ,7214
201611,SL,3726
201609,FM,791
201610,GQ,2398
201502,YM,6926
201705,NL,16232
201609,EI,51695
201704,WS,1715
201604,FR,93444
201604,RO,9117
201607,ST,1197
