MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201506,18,LA,4
201603,18,VT,7
201502,03,VI,10
201709,03,KR,23
201602,02,MF,10
201703,03,RN,4
201604,02,MF,4
201703,02,PG,2
201703,20,TX,1
201611,03,PG,1
201704,03,LS,1
201706,20,BE,2
201608,20,NZ,2
201602,18,FP,1
201704,20,RO,3
201509,02,NT,2
201509,19,VI,1
201610,20,BR,6
201502,19,CN,1
201709,03,FG,1
201702,03,NZ,2347
201705,01,US,270681
201705,02,IS,7534
201609,01,LA,1789
201610,02,NZ,2314
201607,01,JA,7125
201607,01,SP,3819
201604,01,AF,7363
201605,02,NI,11763
201709,01,BU,596
201707,01,AE,1958
201504,02,IR,7458
201504,03,GR,3638
201504,01,PK,16224
201705,01,KS,5300
201509,01,VE,1616
201511,01,AR,978
201611,02,SA,1998
201611,01,KE,4646
201703,03,BT,161
201608,02,BM,767
201510,03,GH,1509
201510,01,GY,1110
201704,02,BC,225
201610,01,EG,4486
201603,03,YM,681
201708,01,YM,1593
201707,02,AV,6
201507,01,GM,10128
201703,02,CY,344
201708,02,AJ,295
201608,01,MV,284
201701,02,BX,307
201709,03,PM,223
201609,01,RQ,511
201705,02,KV,110
201509,03,DO,166
201509,02,PE,511
201709,03,RQ,516
201603,01,RW,1090
201611,01,TW,1860
201702,01,NU,207
201604,03,DJ,366
201603,01,PP,257
201708,03,PE,393
201504,03,SN,1461
201505,02,CY,369
201612,03,PM,360
201608,01,JE,919
201606,02,PP,389
201505,01,FJ,818
201603,02,AV,7
201608,03,TS,212
201602,02,HA,466
201510,01,GK,201
201505,02,KZ,243
201509,02,BY,182
201506,03,NO,842
201506,03,CI,433
201705,03,BL,100
201606,01,PU,57
201703,01,WI,70
201508,02,HO,153
201603,02,TP,3
201602,03,MR,35
201507,03,SE,112
201512,03,EN,212
201605,02,HR,286
201707,03,CF,151
201612,01,SN,2237
201709,03,CJ,47
201609,02,MJ,42
201603,03,BM,690
201610,03,JE,465
201608,02,BU,345
201705,01,BT,225
201606,02,AC,59
201705,02,BK,42
201510,03,LU,511
201602,01,BD,360
201709,01,NU,127
201611,01,CW,70
201509,03,CJ,142
201511,02,CN,21
201707,01,MB,9
201505,03,GJ,80
201506,02,IC,186
201502,02,NU,36
201511,03,EK,41
201606,02,SC,13
201611,03,AN,6
201502,01,OC,12
201512,01,GP,7
201505,01,CV,39
201607,02,TT,45
201611,01,NS,39
201707,01,HQ,9
201601,01,AA,24
201705,01,KT,11
201512,02,RN,2
201704,02,MH,1
201602,18,OD,79
201509,19,GM,4155
201509,19,MV,123
201707,18,PL,208
201609,18,IT,610
201506,19,NI,7071
201603,19,WE,2072
201609,18,IZ,1601
201504,19,BN,111
201507,18,RW,180
201610,18,ZI,580
201605,19,CM,330
201606,19,CI,358
201604,19,JM,422
201503,19,SP,1922
201510,18,ES,74
201609,19,NZ,1030
201603,18,KS,343
201601,18,AU,386
201610,20,OD,10
201512,20,PK,116
201512,18,SP,432
201611,19,MY,1319
201704,18,MY,493
201703,18,UG,364
201702,19,MC,227
201604,19,UZ,125
201502,19,CB,137
201611,18,AO,39
201701,20,IR,36
201706,19,CE,539
201604,19,RI,184
201507,19,KV,92
201604,19,VQ,39
201609,18,HK,57
201502,19,AY,49
201504,18,UG,155
201506,18,HU,9
201601,18,BE,254
201702,20,RS,59
201511,19,UY,53
201706,18,BA,56
201703,18,NO,88
201506,19,AE,572
201609,18,BC,44
201708,18,CS,17
201510,18,FI,37
201506,18,EN,40
201504,20,KE,351
201606,18,GT,41
201507,18,PP,52
201507,18,GV,19
201502,18,TH,84
201509,19,MJ,11
201701,18,IC,17
201607,18,KT,1
201611,18,GG,19
201610,20,HR,6
201505,18,JE,119
201602,20,AS,1
201505,18,KZ,33
201704,20,CH,28
201504,19,WQ,9
201601,20,AU,1
201610,20,JM,4
201504,20,CU,4
201506,18,GJ,5
201606,03,TP,2
201512,03,PG,9
201709,19,FG,1
201605,20,MY,4
201611,19,FO,1
201605,20,GT,1
201608,20,HU,2
201609,20,GZ,2
201604,18,SE,1
201609,20,SW,2
201610,18,DO,2
201608,01,PE,1540
201601,03,CU,2084
201602,01,GM,11055
201703,01,RP,10586
201703,03,NI,7849
201701,02,US,161228
201509,01,HR,1694
201703,01,BR,2608
201609,01,MX,6606
201605,03,NL,1655
201605,01,RI,316
201606,02,PM,549
201608,01,KE,4299
201707,02,EZ,344
201606,03,CO,1101
201604,01,BE,6004
201604,02,CF,295
201510,03,AS,11747
201603,02,IR,4608
