ActionGeo_CountryCode,MentionTimeDate,count
SG,201509,23147
TI,201510,11978
WE,201510,70676
CW,201510,1623
US,201603,9611296
BO,201602,20779
BE,201603,665596
LU,201603,6147
TV,201603,246
JM,201605,31456
CA,201606,620906
NC,201606,577
GI,201608,1472
PP,201609,6478
JN,201609,13
VM,201610,103480
ET,201610,84286
SA,201701,139369
MA,201701,14604
GZ,201701,6726
GH,201702,91685
EG,201702,147356
FG,201702,196
LU,201703,10758
DR,201708,6739
RB,201709,5000
BC,201709,6885
JE,201709,14224
MH,201709,1363
CD,201709,7713
VE,201710,239
IM,201606,538
VI,201502,365
GP,201607,302
PC,201606,1089
AE,201607,63947
LT,201610,2835
PA,201710,66
TK,201703,14
UY,201711,16
SV,201502,80
LI,201503,31797
HU,201503,26088
RI,201503,18434
ID,201504,375714
GZ,201506,11870
PC,201507,45
BT,201507,6517
GR,201508,297013
TD,201508,21162
RE,201509,1293
PU,201512,773
FP,201601,1038
RS,201603,462146
MI,201603,17599
AO,201603,20478
MJ,201603,2658
AF,201605,354333
GV,201607,3386
UY,201607,12741
AO,201609,7276
SL,201610,9945
WS,201612,3912
SE,201701,2513
MD,201703,6704
AR,201704,18551
PO,201704,23418
DJ,201704,14264
FR,201705,649813
NO,201705,36409
JO,201706,38526
HO,201706,5307
KN,201708,489269
MX,201708,148636
TX,201708,6651
KG,201708,7280
BH,201709,7247
NE,201702,55
CH,201512,672542
BK,201612,10221
RN,201606,150
MF,201610,57
GP,201708,123
CQ,201606,1637
PS,201710,14
UY,201503,5138
AC,201503,2560
MC,201504,1900
LO,201505,5074
CG,201507,2749
PU,201510,1432
PM,201512,15383
AF,201601,264903
RI,201602,22823
CB,201603,64723
AF,201603,188914
PL,201605,67953
AM,201607,92809
EI,201610,154180
GZ,201702,5303
VM,201703,79822
SG,201703,8321
HR,201704,8541
GQ,201706,4837
VE,201707,113687
SN,201709,31237
FP,201709,278
KT,201612,1332
FP,201511,847
NF,201610,67
KU,201510,18534
SO,201510,41289
MU,201711,74
US,201502,3050493
SA,201502,39364
MD,201504,7005
MN,201505,5290
CQ,201505,48
SI,201505,2665
BK,201505,4990
RM,201510,1140
UK,201512,1009720
SN,201512,72783
AG,201601,21890
YM,201603,83233
HA,201603,22545
YM,201604,80869
GG,201604,5812
DJ,201605,10082
UV,201605,6301
MY,201606,128238
TS,201607,41764
BO,201608,14528
KZ,201701,73903
TI,201701,5379
NO,201703,32845
IC,201703,15679
PL,201705,49737
TD,201705,13779
SV,201705,425
CV,201705,1114
NO,201708,20715
SE,201709,1460
TP,201508,116
WI,201708,432
BB,201710,62
GT,201711,16
UY,201512,4499
TW,201602,58786
BN,201606,6773
MY,201612,136861
NC,201702,1401
MP,201707,3324
AN,201603,512
IM,201508,175
TK,201512,8
VC,201710,2
SU,201502,19263
TS,201504,19943
GA,201505,19888
UY,201506,7915
CF,201507,8938
TU,201508,393263
BM,201508,82363
YI,201510,405
IS,201511,513477
IN,201511,837117
MP,201511,2466
JO,201601,62679
SF,201602,194356
CI,201602,21966
HU,201605,29489
HU,201611,38170
CM,201612,18065
CE,201701,53677
KE,201703,108128
WS,201705,3657
BD,201705,4327
RS,201709,329590
BY,201709,15683
MF,201601,10
VI,201606,741
SM,201609,474
MA,201511,2116
CN,201606,688
AO,201711,18
KV,201503,3544
KG,201503,16581
RP,201504,165320
RW,201504,31326
MU,201504,18652
UY,201504,8022
HU,201505,24535
NO,201507,46532
MV,201508,15412
UK,201509,1055001
MX,201509,161307
IS,201510,962498
KN,201510,75445
EC,201601,7319
KZ,201602,11481
MJ,201602,4345
MI,201604,17451
RE,201605,800
RP,201608,337829
LG,201609,6373
RI,201609,11587
SH,201609,204
LE,201610,40553
CT,201611,11402
BL,201611,5964
WE,201701,41464
SO,201701,85325
NL,201701,75088
LI,201702,15906
PP,201703,7317
ZA,201704,19401
FP,201704,492
BC,201705,8405
NO,201706,35222
TH,201706,59857
IC,201706,4804
LY,201707,42010
AJ,201707,19256
BP,201708,3217
TP,201605,87
TV,201705,142
ML,201710,190
BC,201602,11959
,201702,1406185
CE,201705,85803
PF,201503,6
LQ,201610,2
TX,201502,1280
LU,201504,21733
WI,201506,918
UP,201507,145447
VT,201510,6962
AA,201511,735
KN,201512,65847
CW,201601,894
AO,201602,25189
VM,201603,80140
TU,201604,436379
NL,201604,72980
WA,201604,13712
SL,201604,10175
AY,201606,11769
KE,201607,167195
MC,201607,1757
BK,201608,3575
ML,201610,18376
LH,201610,13672
NO,201612,38078
GY,201612,19276
PM,201702,14589
BG,201702,106078
BK,201702,5196
YI,201703,153
BP,201703,1835
NH,201703,1581
VQ,201705,1341
JM,201706,25444
BD,201707,3016
DJ,201709,2317
LY,201710,520
EK,201512,732
MB,201701,179
PU,201610,618
EG,201711,389
RN,201612,129
FO,201701,234
MZ,201710,55
WQ,201706,58
DR,201603,9617
AC,201608,3745
AN,201612,112
MC,201710,95
IC,201710,149
CN,201506,98
JN,201503,4
IV,201711,10
IR,201503,665219
BD,201503,5180
GY,201504,12604
AU,201505,42419
TV,201505,225
OS,201506,8995
RP,201507,263113
MH,201507,359
TH,201508,283261
AY,201508,1894
UK,201510,1083717
EI,201510,155679
ET,201511,35744
VI,201511,624
CG,201601,2567
BE,201602,96672
KZ,201604,11468
MA,201605,2170
UV,201606,6030
NS,201606,650
NP,201607,60578
DO,201607,1202
KS,201608,142456
KU,201610,25782
GA,201611,18988
PS,201611,922
MZ,201611,15070
HK,201612,26775
MX,201612,177881
CI,201701,121496
PE,201702,54556
OC,201703,3553
MZ,201703,5310
US,201705,9021562
MR,201704,848
TW,201706,33422
GR,201707,59597
UV,201709,2091
MC,201502,850
NH,201604,2858
MJ,201606,1433
NE,201705,187
SV,201708,190
IS,201711,1078
SV,201611,199
YI,201512,1098
BM,201601,36734
KG,201602,6138
GA,201607,13099
BR,201608,126138
CU,201612,140979
SN,201706,57909
UK,201711,4970
FK,201604,60
HO,201711,44
TK,201511,63
TK,201602,37
OC,201710,8
GJ,201502,789
BE,201504,53596
SI,201506,2558
IR,201507,760692
HA,201507,29854
EI,201508,136671
CM,201508,26515
TD,201509,18845
FJ,201601,15217
SL,201603,14320
CU,201606,72056
HO,201606,7498
MU,201608,19448
NL,201611,71274
HO,201703,12040
UV,201705,2780
IT,201706,127417
GB,201706,2523
LE,201707,81403
AU,201707,25808
EG,201707,127589
GK,201707,1308
SE,201707,1645
CO,201709,93500
MK,201709,3173
TU,201710,5443
BE,201710,328
MF,201506,169
TV,201506,301
SB,201602,8
SN,201703,87555
TN,201706,1960
NC,201510,318
HQ,201706,6
KT,201701,92
FK,201508,50
TT,201710,32
MF,201510,42
BA,201502,9467
JE,201503,19912
PE,201506,19844
FJ,201506,15852
DR,201506,15532
WE,201507,34846
NO,201508,43717
BD,201508,5966
AU,201508,69322
CY,201509,17875
ST,201602,1230
IT,201604,230785
GQ,201604,7858
PM,201606,30835
TZ,201607,48557
LU,201610,8164
GV,201703,4175
NG,201704,8014
CF,201708,11585
TS,201708,7527
DR,201711,22
CN,201701,122
AV,201704,355
FK,201608,159
BF,201710,79
SY,201708,217974
JQ,201503,10
BN,201502,2797
DA,201503,37622
GK,201503,2541
PK,201504,501680
BP,201504,2238
ER,201505,9021
TZ,201506,28375
DA,201506,32061
PU,201508,3787
BT,201509,4598
ML,201509,21530
HU,201510,103715
KG,201510,15537
TW,201512,45235
AG,201512,15789
CD,201601,13748
KN,201603,234973
MR,201604,1640
MG,201605,10492
CJ,201607,2361
SG,201611,8609
VT,201611,4952
SC,201702,333
CS,201705,7130
AS,201706,830121
SG,201707,5930
TO,201707,1181
YM,201708,61598
MX,201710,1901
VC,201503,1119
VC,201502,171
CN,201610,483
MT,201604,16316
BN,201608,9633
MT,201609,17496
CQ,201702,103
MF,201611,65
WI,201502,241
IS,201503,656486
PO,201503,18532
MX,201505,229275
BY,201505,167797
BE,201507,105718
LA,201509,6430
JO,201510,80088
NO,201510,43512
SP,201511,105070
EK,201603,3121
QA,201605,41064
TS,201605,26904
WE,201607,33693
QA,201610,33867
MD,201610,11066
VQ,201610,1678
CG,201703,6541
RE,201704,652
AM,201705,27806
MO,201706,34185
NH,201707,1306
VQ,201709,8162
RN,201510,201
MB,201612,1443
BA,201512,18030
BK,201602,7297
BL,201603,7342
BD,201605,5002
SW,201706,35481
ZA,201502,8833
IN,201504,916038
AM,201505,41984
CJ,201505,2931
JO,201506,67020
BH,201506,8807
AF,201508,364768
KE,201510,84754
MA,201510,2965
TW,201511,104354
ZA,201511,23237
HO,201601,11176
WS,201601,3312
RS,201602,536521
PP,201602,9114
SY,201603,597722
JO,201603,75010
MA,201603,4549
DA,201605,32211
MJ,201607,1354
KE,201609,133177
TW,201609,38139
BF,201612,11889
BU,201701,19813
BU,201703,22081
BN,201704,6869
LO,201705,3799
BU,201708,14772
FP,201609,765
,201510,1584281
TZ,201603,29368
BH,201612,9185
CN,201708,202
KR,201601,343
NF,201504,22
MQ,201512,12
CG,201503,6121
EN,201505,9745
CE,201506,56509
CF,201506,15421
SF,201507,196581
ID,201509,131968
