MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,GQ,84
onlinenigeria.com,CE,58
washingtonpost.com,KZ,318
washingtonpost.com,FM,24
france24.com,FP,4
washingtonpost.com,SM,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,PA,219
theguardian.com,AU,1031
washingtonpost.com,AJ,361
indiatimes.com,GB,46
indiatimes.com,PF,9
theguardian.com,CW,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,ZA,130
washingtonpost.com,ID,2671
theguardian.com,KE,2012
theguardian.com,NG,268
washingtonpost.com,HO,556
indiatimes.com,MO,737
france24.com,BK,230
