MentionSourceName,ActionGeo_CountryCode,Number_Mentions
kenyastar.com,AG,48
gulfnews.com,MY,2479
kenyastar.com,VM,150
france24.com,PM,467
france24.com,SW,1346
thejakartapost.com,AR,124
theguardian.com,FP,34
chinadaily.com.cn,RB,138
japantimes.co.jp,JE,33
thehindu.com,NU,40
thejakartapost.com,CS,8
france24.com,VQ,4
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,UP,1464
thejakartapost.com,KU,108
france24.com,HO,223
washingtonpost.com,SV,15
kenyastar.com,HA,76
theguardian.com,TX,63
dailytelegraph.com.au,UG,286
dailytelegraph.com.au,KG,160
thehindu.com,MD,8
timesofisrael.com,MH,1
timesofisrael.com,DO,4
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
timesofisrael.com,EG,7311
theguardian.com,CE,678
timesofisrael.com,VT,81
thejakartapost.com,GG,20
chinadaily.com.cn,BP,12
theguardian.com,BK,162
kenyastar.com,,171
dailytelegraph.com.au,OC,15
theguardian.com,RE,21
gulfnews.com,UZ,147
thehindu.com,NH,9
thehindu.com,BP,8
gulfnews.com,FM,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
dailytelegraph.com.au,US,97114
chinadaily.com.cn,TU,3367
thehindu.com,DA,700
washingtonpost.com,DJ,333
rt.com,AG,136
rt.com,KG,88
washingtonpost.com,GG,174
kenyastar.com,RM,4
washingtonpost.com,NE,3
kenyastar.com,MX,305
japantimes.co.jp,VI,3
thehindu.com,AA,6
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
kenyastar.com,SU,4746
washingtonpost.com,TU,15892
dailytelegraph.com.au,TS,1597
kenyastar.com,AU,52
gulfnews.com,SG,372
timesofisrael.com,CT,42
japantimes.co.jp,FP,12
rt.com,PG,11
gulfnews.com,AV,4
chinadaily.com.cn,RQ,13
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
chinadaily.com.cn,KS,7134
japantimes.co.jp,EG,1617
france24.com,GM,9161
washingtonpost.com,KZ,400
thejakartapost.com,GZ,26
washingtonpost.com,FM,25
timesofisrael.com,AE,342
japantimes.co.jp,EC,114
theguardian.com,GQ,103
rt.com,AO,43
dailytelegraph.com.au,SG,160
rt.com,JM,64
gulfnews.com,JM,48
rt.com,CD,41
france24.com,FP,4
japantimes.co.jp,AQ,6
washingtonpost.com,SM,2
rt.com,BB,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
dailytelegraph.com.au,KE,1162
japantimes.co.jp,IR,3912
theguardian.com,AU,1302
thehindu.com,IZ,3281
washingtonpost.com,AJ,466
washingtonpost.com,PA,270
rt.com,EN,417
kenyastar.com,ID,106
thehindu.com,TD,21
dailytelegraph.com.au,GG,33
gulfnews.com,MF,3
theguardian.com,CW,1
chinadaily.com.cn,VC,1
thehindu.com,CN,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,KE,2597
japantimes.co.jp,AF,2786
washingtonpost.com,ID,3446
theguardian.com,ZA,160
washingtonpost.com,HO,736
kenyastar.com,RP,274
theguardian.com,NG,349
timesofisrael.com,RQ,34
rt.com,PK,1069
timesofisrael.com,EC,92
gulfnews.com,BO,216
rt.com,RW,81
france24.com,BK,301
gulfnews.com,BN,124
rt.com,LS,4
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
gulfnews.com,BG,5419
rt.com,AS,1640
japantimes.co.jp,BO,144
japantimes.co.jp,PK,1434
kenyastar.com,SO,13463
theguardian.com,LA,163
gulfnews.com,MD,44
chinadaily.com.cn,KU,71
chinadaily.com.cn,NH,31
kenyastar.com,OC,7
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
chinadaily.com.cn,UK,13051
timesofisrael.com,SA,4389
thejakartapost.com,BR,574
dailytelegraph.com.au,IS,3360
gulfnews.com,IV,230
thejakartapost.com,ER,31
rt.com,ML,101
japantimes.co.jp,JM,74
france24.com,WA,50
france24.com,BB,16
rt.com,NS,7
japantimes.co.jp,ZA,10
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
rt.com,BO,492
thehindu.com,JA,5420
chinadaily.com.cn,SF,1594
thehindu.com,NL,864
japantimes.co.jp,SW,601
gulfnews.com,SN,1342
timesofisrael.com,NO,737
thehindu.com,MA,50
washingtonpost.com,HK,669
kenyastar.com,GV,18
gulfnews.com,LO,98
gulfnews.com,JE,103
rt.com,WZ,5
timesofisrael.com,UY,64
france24.com,AQ,3
timesofisrael.com,MB,3
gulfnews.com,TT,17
dailytelegraph.com.au,MI,23
