MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,BR,603735,3378
indiatimes.com,BR,603735,2861
onlinenigeria.com,BR,603735,729
theguardian.com,BR,603735,1886
france24.com,BR,603735,2466
washingtonpost.com,KZ,192051,308
france24.com,KZ,192051,275
indiatimes.com,KZ,192051,647
theguardian.com,KZ,192051,197
onlinenigeria.com,KZ,192051,36
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,BY,149896,757
washingtonpost.com,BY,149896,962
indiatimes.com,BY,149896,320
theguardian.com,BY,149896,627
onlinenigeria.com,BY,149896,196
indiatimes.com,HO,84820,113
washingtonpost.com,HO,84820,542
theguardian.com,HO,84820,373
france24.com,HO,84820,176
onlinenigeria.com,HO,84820,26
theguardian.com,NC,6746,24
onlinenigeria.com,NC,6746,6
washingtonpost.com,NC,6746,3
indiatimes.com,NC,6746,1
france24.com,NC,6746,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,VT,61996,82
washingtonpost.com,VT,61996,335
theguardian.com,VT,61996,108
france24.com,VT,61996,68
onlinenigeria.com,VT,61996,33
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,EN,103002,239
theguardian.com,EN,103002,148
indiatimes.com,EN,103002,169
france24.com,EN,103002,198
onlinenigeria.com,EN,103002,47
theguardian.com,GK,27563,67
onlinenigeria.com,GK,27563,10
washingtonpost.com,GK,27563,5
washingtonpost.com,GT,114786,973
onlinenigeria.com,GT,114786,64
indiatimes.com,GT,114786,239
france24.com,GT,114786,348
theguardian.com,GT,114786,378
washingtonpost.com,MD,74674,373
indiatimes.com,MD,74674,53
france24.com,MD,74674,66
theguardian.com,MD,74674,71
onlinenigeria.com,MD,74674,12
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,IO,725,28
indiatimes.com,IO,725,6
france24.com,RB,132112,399
theguardian.com,RB,132112,216
washingtonpost.com,RB,132112,497
indiatimes.com,RB,132112,134
onlinenigeria.com,RB,132112,52
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,GJ,35792,39
onlinenigeria.com,GJ,35792,34
washingtonpost.com,GJ,35792,54
indiatimes.com,GJ,35792,20
france24.com,GJ,35792,2
france24.com,SP,897455,2938
washingtonpost.com,SP,897455,4094
theguardian.com,SP,897455,3342
indiatimes.com,SP,897455,2457
onlinenigeria.com,SP,897455,1084
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,BH,119036,63
washingtonpost.com,BH,119036,85
indiatimes.com,BH,119036,25
onlinenigeria.com,BH,119036,22
france24.com,BH,119036,11
washingtonpost.com,EC,119786,520
indiatimes.com,EC,119786,331
onlinenigeria.com,EC,119786,63
france24.com,EC,119786,210
theguardian.com,EC,119786,353
washingtonpost.com,ES,89685,1061
theguardian.com,ES,89685,341
indiatimes.com,ES,89685,88
onlinenigeria.com,ES,89685,81
france24.com,ES,89685,106
theguardian.com,IR,2528883,5622
washingtonpost.com,IR,2528883,14501
indiatimes.com,IR,2528883,10362
france24.com,IR,2528883,5640
onlinenigeria.com,IR,2528883,1142
indiatimes.com,MO,228651,659
theguardian.com,MO,228651,484
washingtonpost.com,MO,228651,899
france24.com,MO,228651,779
onlinenigeria.com,MO,228651,252
theguardian.com,NR,33224,1448
washingtonpost.com,NR,33224,69
indiatimes.com,NR,33224,38
france24.com,NR,33224,37
onlinenigeria.com,NR,33224,35
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,VI,13677,19
theguardian.com,VI,13677,63
indiatimes.com,VI,13677,36
onlinenigeria.com,VI,13677,11
france24.com,VI,13677,20
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,PO,211090,502
washingtonpost.com,PO,211090,783
indiatimes.com,PO,211090,1404
theguardian.com,PO,211090,580
onlinenigeria.com,PO,211090,248
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,MR,28881,108
theguardian.com,MR,28881,117
france24.com,MR,28881,90
indiatimes.com,MR,28881,39
onlinenigeria.com,MR,28881,29
washingtonpost.com,VE,357396,2598
indiatimes.com,VE,357396,975
france24.com,VE,357396,2251
theguardian.com,VE,357396,652
onlinenigeria.com,VE,357396,195
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,MB,3825,5
france24.com,MB,3825,3
washingtonpost.com,MB,3825,4
washingtonpost.com,OD,232300,1270
indiatimes.com,OD,232300,340
france24.com,OD,232300,525
onlinenigeria.com,OD,232300,117
theguardian.com,OD,232300,507
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,ZA,275364,130
onlinenigeria.com,ZA,275364,475
indiatimes.com,ZA,275364,148
washingtonpost.com,ZA,275364,122
france24.com,ZA,275364,105
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,SF,2115270,2591
theguardian.com,SF,2115270,2816
france24.com,SF,2115270,1767
indiatimes.com,SF,2115270,2774
onlinenigeria.com,SF,2115270,3557
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,KR,10467,45
onlinenigeria.com,KR,10467,25
washingtonpost.com,KR,10467,37
indiatimes.com,KR,10467,10
france24.com,KR,10467,4
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,TZ,287883,488
theguardian.com,TZ,287883,520
indiatimes.com,TZ,287883,517
onlinenigeria.com,TZ,287883,220
france24.com,TZ,287883,178
indiatimes.com,WA,150396,105
washingtonpost.com,WA,150396,95
onlinenigeria.com,WA,150396,83
theguardian.com,WA,150396,88
france24.com,WA,150396,35
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,AQ,8624,5
washingtonpost.com,AQ,8624,65
indiatimes.com,AQ,8624,4
onlinenigeria.com,AQ,8624,5
france24.com,AQ,8624,2
theguardian.com,RS,4271064,11870
washingtonpost.com,RS,4271064,25867
france24.com,RS,4271064,11111
indiatimes.com,RS,4271064,17905
onlinenigeria.com,RS,4271064,3802
washingtonpost.com,US,58158596,539899
theguardian.com,US,58158596,95919
indiatimes.com,US,58158596,94902
onlinenigeria.com,US,58158596,46732
france24.com,US,58158596,24086
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,LH,104012,280
washingtonpost.com,LH,104012,285
theguardian.com,LH,104012,175
france24.com,LH,104012,208
onlinenigeria.com,LH,104012,63
washingtonpost.com,TS,215273,1168
france24.com,TS,215273,1015
theguardian.com,TS,215273,940
indiatimes.com,TS,215273,651
onlinenigeria.com,TS,215273,241
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,EK,20183,46
onlinenigeria.com,EK,20183,137
indiatimes.com,EK,20183,38
france24.com,EK,20183,59
theguardian.com,EK,20183,27
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,AL,116990,118
washingtonpost.com,AL,116990,709
theguardian.com,AL,116990,123
france24.com,AL,116990,233
onlinenigeria.com,AL,116990,97
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,MY,1208132,3842
theguardian.com,MY,1208132,1314
washingtonpost.com,MY,1208132,1627
onlinenigeria.com,MY,1208132,502
france24.com,MY,1208132,914
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,IN,7356077,532874
theguardian.com,IN,7356077,4043
washingtonpost.com,IN,7356077,4913
france24.com,IN,7356077,2066
onlinenigeria.com,IN,7356077,1262
washingtonpost.com,JM,294742,439
indiatimes.com,JM,294742,90
theguardian.com,JM,294742,376
onlinenigeria.com,JM,294742,136
france24.com,JM,294742,27
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,GM,2337771,12384
washingtonpost.com,GM,2337771,12246
france24.com,GM,2337771,6842
theguardian.com,GM,2337771,8789
onlinenigeria.com,GM,2337771,2800
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,BK,52989,327
france24.com,BK,52989,228
theguardian.com,BK,52989,135
onlinenigeria.com,BK,52989,21
indiatimes.com,BK,52989,62
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,AE,580312,1237
indiatimes.com,AE,580312,3943
onlinenigeria.com,AE,580312,599
theguardian.com,AE,580312,488
france24.com,AE,580312,408
washingtonpost.com,KV,60665,383
france24.com,KV,60665,140
indiatimes.com,KV,60665,48
theguardian.com,KV,60665,72
onlinenigeria.com,KV,60665,27
