MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
japantimes.co.jp,PF,2062,4
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,YI,4441,17
thehindu.com,YI,4441,3
gulfnews.com,YI,4441,4
france24.com,YI,4441,31
theguardian.com,YI,4441,14
japantimes.co.jp,YI,4441,5
rt.com,YI,4441,14
dailytelegraph.com.au,YI,4441,2
timesofisrael.com,YI,4441,1
chinadaily.com.cn,YI,4441,3
kenyastar.com,YI,4441,3
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,GL,28172,125
japantimes.co.jp,GL,28172,22
washingtonpost.com,GL,28172,157
france24.com,GL,28172,25
dailytelegraph.com.au,GL,28172,27
gulfnews.com,GL,28172,24
chinadaily.com.cn,GL,28172,18
thehindu.com,GL,28172,15
thejakartapost.com,GL,28172,15
rt.com,GL,28172,12
timesofisrael.com,GL,28172,2
thejakartapost.com,TV,6896,5
dailytelegraph.com.au,TV,6896,9
theguardian.com,TV,6896,14
washingtonpost.com,TV,6896,1
thehindu.com,TV,6896,4
japantimes.co.jp,TV,6896,2
france24.com,TV,6896,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
dailytelegraph.com.au,BP,26209,46
thehindu.com,BP,26209,6
chinadaily.com.cn,BP,26209,4
gulfnews.com,BP,26209,12
theguardian.com,BP,26209,38
washingtonpost.com,BP,26209,10
thejakartapost.com,BP,26209,28
japantimes.co.jp,BP,26209,5
timesofisrael.com,BP,26209,1
rt.com,BP,26209,3
france24.com,BP,26209,4
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,SM,2690,2
gulfnews.com,SM,2690,2
thehindu.com,SM,2690,6
chinadaily.com.cn,SM,2690,3
france24.com,SM,2690,1
rt.com,SM,2690,2
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,CN,4301,82
france24.com,CN,4301,27
theguardian.com,CN,4301,20
dailytelegraph.com.au,CN,4301,17
timesofisrael.com,CN,4301,4
washingtonpost.com,CN,4301,13
thejakartapost.com,CN,4301,4
kenyastar.com,CN,4301,1
chinadaily.com.cn,CN,4301,3
japantimes.co.jp,CN,4301,5
thehindu.com,CN,4301,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,FG,3236,27
france24.com,FG,3236,35
theguardian.com,FG,3236,3
thehindu.com,FG,3236,11
thejakartapost.com,FG,3236,5
rt.com,FG,3236,3
dailytelegraph.com.au,FG,3236,2
timesofisrael.com,FG,3236,1
gulfnews.com,FG,3236,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
kenyastar.com,TI,107025,114
chinadaily.com.cn,TI,107025,74
france24.com,TI,107025,70
rt.com,TI,107025,53
gulfnews.com,TI,107025,110
theguardian.com,TI,107025,124
washingtonpost.com,TI,107025,93
timesofisrael.com,TI,107025,11
japantimes.co.jp,TI,107025,20
thehindu.com,TI,107025,47
dailytelegraph.com.au,TI,107025,18
thejakartapost.com,TI,107025,6
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,SW,480991,882
washingtonpost.com,SW,480991,2040
thehindu.com,SW,480991,598
theguardian.com,SW,480991,1898
japantimes.co.jp,SW,480991,417
rt.com,SW,480991,1178
dailytelegraph.com.au,SW,480991,804
timesofisrael.com,SW,480991,729
france24.com,SW,480991,994
thejakartapost.com,SW,480991,322
