600476264	20151119	201511	2015	2015.8740	PER	LIMA	PER								IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV		1	046	046	04	1	7.0	10	1	10	2.8003613369467	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	4	Lima, Lima, Peru	PE	PE15	91841	-12.05	-77.05	-352647	20161118230000	http://www.imf.org/en/News/Articles/2016/11/18/SP111816-Peru-Seizing-Opportunities-in-a-Changing-Global-Economy
600476265	20151119	201511	2015	2015.8740	USA	UNITED STATES	USA								LEGJUD	SENATE						LEG	JUD		1	120	120	12	3	-4.0	2	1	2	-2.5940337224384	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20161118230000	http://www.ebony.com/news-views/jeff-sessions-5-things-trump
600476266	20161019	201610	2016	2016.7918	FJI	FIJI	FJI																		1	013	013	01	1	0.4	5	1	5	-0.41152263374485	4	Nausori, Western, Fiji	FJ	FJ05	40205	-17.55	178.233	-1192349	0								4	Nausori, Western, Fiji	FJ	FJ05	40205	-17.55	178.233	-1192349	20161118230000	http://aviationtribune.com/airports-atc/nausori-airport-runway-cleared-b737-operations/
600476267	20161019	201610	2016	2016.7918	IND	MUMBAI	IND								IDNBUS	INDONESIA	IDN					BUS			1	061	061	06	2	6.4	5	1	5	-2.4906600249066	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20161118230000	http://www.newsnow.in/news/cash-crunch-gnaws-at-surat-mills
600476268	20161019	201610	2016	2016.7918	IND	MUMBAI	IND								MYS	MALAYSIA	MYS								1	061	061	06	2	6.4	2	1	2	-2.4906600249066	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Indonesia	ID	ID		-5	120	ID	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20161118230000	http://www.newsnow.in/news/cash-crunch-gnaws-at-surat-mills
600476269	20161019	201610	2016	2016.7918	IND	MUMBAI	IND								MYS	MALAYSIA	MYS								1	061	061	06	2	6.4	3	1	3	-2.4906600249066	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Malaysia	MY	MY		2.5	112.5	MY	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20161118230000	http://www.newsnow.in/news/cash-crunch-gnaws-at-surat-mills
600476270	20161019	201610	2016	2016.7918	MYS	KUALA LUMPUR	MYS								IND	NEW DELHI	IND								1	061	061	06	2	6.4	3	1	3	-2.4906600249066	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20161118230000	http://www.newsnow.in/news/cash-crunch-gnaws-at-surat-mills
600476271	20161111	201611	2016	2016.8521	GOV	PREMIER						GOV			hai	HAIDA			hai						0	130	130	13	3	-4.4	10	1	10	-2.55681818181818	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20161118230000	http://www.cbc.ca/news/canada/british-columbia/premier-clark-s-claim-pot-laced-with-fentanyl-not-true-say-police-1.3857412
600476272	20161111	201611	2016	2016.8521	MED	MEDIA						MED			COP	POLICE						COP			1	180	180	18	4	-9.0	10	1	10	-13.5802469135802	0								0								0								20161118230000	http://www.registerstar.com/news/article_4de0f4a8-adc1-11e6-bde9-87dd23d9589b.html
600476273	20161111	201611	2016	2016.8521	MEX	MEXICO	MEX								MEXJUD	MEXICO	MEX					JUD			1	111	111	11	3	-2.0	1	1	1	-3.13455657492354	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20161118230000	http://legalinsurrection.com/tag/mitch-mcconnell/
600476274	20161117	201611	2016	2016.8685	DEU	GERMANY	DEU																		1	010	010	01	1	0.0	4	1	4	-0.70011668611436	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	0								4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	20161118230000	http://www.express.co.uk/news/uk/733996/Fury-UK-must-pay-billions-Brussels-decade-after-Brexit
600476275	20161117	201611	2016	2016.8685	EDU	STUDENT						EDU			EDUGOV	STUDENT						EDU	GOV		0	040	040	04	1	1.0	6	1	6	-1.85701021355617	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476276	20161117	201611	2016	2016.8685	EDU	STUDENT						EDU			EDUGOV	STUDENT						EDU	GOV		0	040	040	04	1	1.0	4	1	4	-1.85701021355617	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476277	20161117	201611	2016	2016.8685	EDUGOV	STUDENT						EDU	GOV		EDU	STUDENT						EDU			0	040	040	04	1	1.0	6	1	6	-1.85701021355617	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476278	20161117	201611	2016	2016.8685	EDUGOV	STUDENT						EDU	GOV		EDU	STUDENT						EDU			0	040	040	04	1	1.0	4	1	4	-1.85701021355617	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476279	20161117	201611	2016	2016.8685	EDUGOV	STUDENT						EDU	GOV		GOV	PRESIDENT						GOV			0	046	046	04	1	7.0	6	1	6	-1.85701021355617	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476280	20161117	201611	2016	2016.8685	EDUGOV	STUDENT						EDU	GOV		GOV	PRESIDENT						GOV			0	046	046	04	1	7.0	4	1	4	-1.85701021355617	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476281	20161117	201611	2016	2016.8685	FRAJUD	PARIS	FRA					JUD			CRMUAF	CRIMINAL						CRM	UAF		1	010	010	01	1	0.0	2	1	2	-9.67741935483874	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20161118230000	http://www.business-standard.com/article/pti-stories/teenager-arrested-in-france-for-alleged-links-with-is-jihadi-116111900048_1.html
600476282	20161117	201611	2016	2016.8685	FRAJUD	FRANCE	FRA					JUD			FRA	FRANCE	FRA								1	010	010	01	1	0.0	8	1	8	-9.67741935483874	1	Iraq	IZ	IZ		33	44	IZ	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20161118230000	http://www.business-standard.com/article/pti-stories/teenager-arrested-in-france-for-alleged-links-with-is-jihadi-116111900048_1.html
600476283	20161117	201611	2016	2016.8685	FRAJUD	FRANCE	FRA					JUD			FRAJUD	PARIS	FRA					JUD			1	010	010	01	1	0.0	8	1	8	-9.67741935483874	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Rennes, Bretagne, France	FR	FRA2	16258	48.112	-1.67429	-1461464	20161118230000	http://www.business-standard.com/article/pti-stories/teenager-arrested-in-france-for-alleged-links-with-is-jihadi-116111900048_1.html
600476284	20161117	201611	2016	2016.8685	GOV	PRESIDENT						GOV			EDUGOV	STUDENT						EDU	GOV		0	046	046	04	1	7.0	6	1	6	-1.85701021355617	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476285	20161117	201611	2016	2016.8685	GOV	PRESIDENT						GOV			EDUGOV	STUDENT						EDU	GOV		0	046	046	04	1	7.0	4	1	4	-1.85701021355617	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20161118230000	http://inthesetimes.com/article/19651/universities-sanctuary-campus
600476286	20161117	201611	2016	2016.8685	JUD	ATTORNEY						JUD			USAJUD	UNITED STATES	USA					JUD			1	013	013	01	1	0.4	1	1	1	-5.28375733855186	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20161118230000	http://www.newsinferno.com/2016/11/18/
600476287	20161117	201611	2016	2016.8685	USA	FLORIDA	USA								JUD	DISTRICT COURT						JUD			1	173	173	17	4	-5.0	10	1	10	-4.63917525773196	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20161118230000	http://legalinsurrection.com/2016/11/loud-music-killer-michael-dunn-loses-appeal-of-murder-conviction/
600476288	20161118	201611	2016	2016.8712											AFR	AFRICA	AFR								0	041	041	04	1	1.0	6	1	6	-0.35818951481602	0								3	World Bank, District of Columbia, United States	US	USDC		38.899	-77.0422	2002658	3	World Bank, District of Columbia, United States	US	USDC		38.899	-77.0422	2002658	20161118230000	http://www.utahindependent.com/index.php/sid/249520259
600476289	20161118	201611	2016	2016.8712											AFR	AFRICA	AFR								0	041	041	04	1	1.0	6	1	6	-0.1280409731114	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20161118230000	http://www.irishsun.com/index.php/sid/249520259
600476290	20161118	201611	2016	2016.8712											BGD	DHAKA	BGD								1	042	042	04	1	1.9	5	1	5	1.58730158730159	0								1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20161118230000	http://www.thedailystar.net/backpage/he-was-not-sure-what-write-about-1317118
600476291	20161118	201611	2016	2016.8712											BUS	COMPANY						BUS			0	050	050	05	1	3.5	1	1	1	0.59171597633137	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Sweden	SW	SW		62	15	SW	20161118230000	http://www.modernhealthcare.com/article/20161118/MAGAZINE/161119931
600476292	20161118	201611	2016	2016.8712											BUS	BUSINESS						BUS			0	052	052	05	1	3.5	2	1	2	-4.16666666666667	0								3	Watertown, New York, United States	US	USNY	NY045	43.9748	-75.9108	968914	3	Watertown, New York, United States	US	USNY	NY045	43.9748	-75.9108	968914	20161118230000	http://www.watertowndailytimes.com/national/trump-agrees-to-25-million-settlement-in-trump-university-fraud-cases-20161118
600476293	20161118	201611	2016	2016.8712											BUS	BOSS						BUS			1	057	057	05	1	8.0	12	3	12	-5.20517509472642	0								4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20161118230000	http://www.mysanantonio.com/news/world/article/Leaders-mark-Soviet-dissolution-urge-Ukraine-10623852.php
600476294	20161118	201611	2016	2016.8712											BUS	COMPANY						BUS			1	061	061	06	2	6.4	10	1	10	2.19560878243513	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20161118230000	http://www.crn.com/news/channel-programs/300082876/the-channel-company-exclusive-research-strategic-partnerships-help-solution-providers-tech-vendors-drive-more-sales-together.htm
600476295	20161118	201611	2016	2016.8712											BUS	COMPANY						BUS			0	061	061	06	2	6.4	1	1	1	0.59171597633137	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	Sweden	SW	SW		62	15	SW	20161118230000	http://www.modernhealthcare.com/article/20161118/MAGAZINE/161119931
600476296	20161118	201611	2016	2016.8712											BUS	COMPANY						BUS			0	061	061	06	2	6.4	10	1	10	1.7391304347826	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20161118230000	http://mlmnewsblog.com/mlm-news/
600476297	20161118	201611	2016	2016.8712											BUS	BUSINESS						BUS			1	190	190	19	4	-10.0	10	1	10	-3.87096774193548	0								3	Billings Police Department, Montana, United States	US	USMT		45.7838	-108.506	2548910	3	Billings Police Department, Montana, United States	US	USMT		45.7838	-108.506	2548910	20161118230000	http://missoulian.com/news/state-and-regional/car-crashes-through-front-window-of-battery-business-in-billings/article_8f3bb845-330c-5e96-ac97-944b2c06c772.html
600476298	20161118	201611	2016	2016.8712											CAN	CANADA	CAN								0	042	042	04	1	1.9	8	1	8	1.47161878065872	0								4	Shoal Harbour, Newfoundland, Canada	CA	CA05	12614	48.1833	-53.9833	-573586	4	Shoal Harbour, Newfoundland, Canada	CA	CA05	12614	48.1833	-53.9833	-573586	20161118230000	http://www.thepacket.ca/community/2016/11/18/community-calendar.html
600476299	20161118	201611	2016	2016.8712											CAN	CANADA	CAN								1	042	042	04	1	1.9	5	1	5	1.19760479041916	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20161118230000	http://tay.kinja.com/?startTime=1479336300274
600476300	20161118	201611	2016	2016.8712											CAN	CANADA	CAN								0	043	043	04	1	2.8	4	1	4	-0.665557404326131	0								4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20161118230000	http://www.huffingtonpost.ca/2016/11/18/michelle-rempel-transgender-rights-bill-compassion_n_13078918.html
600476301	20161118	201611	2016	2016.8712											CAN	CANADA	CAN								0	051	051	05	1	3.4	2	1	2	3.33333333333333	0								4	Niagara Falls, Ontario, Canada	CA	CA08	30536	43.1	-79.05	-570141	4	Niagara Falls, Ontario, Canada	CA	CA08	30536	43.1	-79.05	-570141	20161118230000	http://www.thoroldedition.ca/2016/11/18/city-welcomes-back-john-macbain
600476302	20161118	201611	2016	2016.8712											CAN	CANADIAN	CAN								1	112	112	11	3	-2.0	1	1	1	-10.3448275862069	0								1	Canada	CA	CA		60	-95	CA	1	Mexico	MX	MX		23	-102	MX	20161118230000	http://www.ctvnews.ca/canada/man-arrested-to-be-charged-in-fatal-stabbing-of-canadian-in-mexico-1.3167406
600476303	20161118	201611	2016	2016.8712											CAN	CANADIAN	CAN								1	112	112	11	3	-2.0	1	1	1	-10.3448275862069	0								1	Mexico	MX	MX		23	-102	MX	1	Canada	CA	CA		60	-95	CA	20161118230000	http://www.ctvnews.ca/canada/man-arrested-to-be-charged-in-fatal-stabbing-of-canadian-in-mexico-1.3167406
600476304	20161118	201611	2016	2016.8712											CHRANG001	ANGLICAN				CHR					0	036	036	03	1	4.0	2	1	2	1.47161878065872	0								4	Clarenville, Newfoundland, Canada	CA	CA05	12614	48.15	-53.9667	-562663	4	Clarenville, Newfoundland, Canada	CA	CA05	12614	48.15	-53.9667	-562663	20161118230000	http://www.thepacket.ca/community/2016/11/18/community-calendar.html
600476305	20161118	201611	2016	2016.8712											COP	POLICE						COP			1	010	010	01	1	0.0	5	1	5	-2.97619047619047	0								2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20161118230000	http://westhawaiitoday.com/news/local-news/bench-warrants-11-11-16-0
600476306	20161118	201611	2016	2016.8712											COP	POLICE						COP			1	020	020	02	1	3.0	5	1	5	-2.97619047619047	0								2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	20161118230000	http://westhawaiitoday.com/news/local-news/bench-warrants-11-11-16-0
600476307	20161118	201611	2016	2016.8712											COP	POLICE						COP			1	040	040	04	1	1.0	4	1	4	-3.87096774193548	0								3	Billings Police Department, Montana, United States	US	USMT		45.7838	-108.506	2548910	3	Billings Police Department, Montana, United States	US	USMT		45.7838	-108.506	2548910	20161118230000	http://missoulian.com/news/state-and-regional/car-crashes-through-front-window-of-battery-business-in-billings/article_8f3bb845-330c-5e96-ac97-944b2c06c772.html
600476308	20161118	201611	2016	2016.8712											COP	POLICE OFFICER						COP			0	112	112	11	3	-2.0	10	1	10	-4.6875	0								3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	3	Ashland, Texas, United States	US	USTX	TX459	32.6907	-94.7044	1377957	20161118230000	http://www.dailyindependent.com/opinion/in-our-view-thin-blue-line-reminds-all-of-those/article_4eaea946-adc8-11e6-9e37-9b3499756ef4.html
600476309	20161118	201611	2016	2016.8712											COP	DEPUTY						COP			0	190	190	19	4	-10.0	12	1	12	-7.90768372294305	0								3	Springfield, Ohio, United States	US	USOH	OH023	39.9242	-83.8088	1065370	3	Springfield, Ohio, United States	US	USOH	OH023	39.9242	-83.8088	1065370	20161118230000	http://www.whio.com/news/crime--law/logan-county-judge-oks-brittany-pilkington-confession-tape-for-trial/91mkKiEZWJCU2RuxNTkr1H/
600476310	20161118	201611	2016	2016.8712											COP	DEPUTY						COP			1	190	190	19	4	-10.0	6	1	6	-7.57726819541376	0								3	Logan County, Ohio, United States	US	USOH		40.3667	-83.7666	1074058	3	Logan County, Ohio, United States	US	USOH		40.3667	-83.7666	1074058	20161118230000	http://www.whio.com/news/crime--law/trial-date-set-for-accused-shooter-warren-county-deputy/siMK6Sd7rOMZN7jbu63EqN/
600476311	20161118	201611	2016	2016.8712											COP	DEPUTY						COP			0	190	190	19	4	-10.0	6	1	6	-7.90768372294305	0								3	Warren County, Ohio, United States	US	USOH		39.4334	-84.1666	1074094	3	Springfield, Ohio, United States	US	USOH	OH023	39.9242	-83.8088	1065370	20161118230000	http://www.whio.com/news/crime--law/logan-county-judge-oks-brittany-pilkington-confession-tape-for-trial/91mkKiEZWJCU2RuxNTkr1H/
600476312	20161118	201611	2016	2016.8712											COP	DEPUTY						COP			0	190	190	19	4	-10.0	6	1	6	-7.27816550348953	0								3	Warren County, Ohio, United States	US	USOH		39.4334	-84.1666	1074094	3	Warren County, Ohio, United States	US	USOH		39.4334	-84.1666	1074094	20161118230000	http://www.whio.com/news/crime--law/police-looking-for-black-bmw-after-woman-shot-springfield/HXmk5r75OsZGt3hoB5n4KO/
600476313	20161118	201611	2016	2016.8712											CRM	ILLEGAL IMMIGRANT						CRM			1	1013	101	10	3	-5.0	10	1	10	-7.37463126843658	0								1	United Kingdom	UK	UK		54	-2	UK	1	United Kingdom	UK	UK		54	-2	UK	20161118230000	http://www.express.co.uk/news/uk/733993/Home-Office-migrants-illegal-arrested-2011-UK
600476314	20161118	201611	2016	2016.8712											DEU	GERMANY	DEU								0	043	043	04	1	2.8	2	1	2	0.77519379844961	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20161118230000	http://www.today.com/kindness/pilot-surprises-son-captaining-flight-back-army-deployment-t89761
600476315	20161118	201611	2016	2016.8712											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	6	1	6	-1.52354570637119	0								4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	20161118230000	https://www.naij.com/1054528-babangidas-wife-lied-husband-tried-fool-buhari-sultan-evidence.html
600476316	20161118	201611	2016	2016.8712											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	2	1	2	-1.52354570637119	0								4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	4	Minna, Niger, Nigeria	NI	NI31	191124	9.61389	6.55694	-2019717	20161118230000	https://www.naij.com/1054528-babangidas-wife-lied-husband-tried-fool-buhari-sultan-evidence.html
600476317	20161118	201611	2016	2016.8712											EDU	STUDENT						EDU			0	043	043	04	1	2.8	4	1	4	1.86567164179104	0								3	Ivywild, Colorado, United States	US	USCO	CO041	38.8105	-104.835	193515	3	Ivywild, Colorado, United States	US	USCO	CO041	38.8105	-104.835	193515	20161118230000	http://www.csbj.com/2016/11/18/lincoln-st-barbers-builds-community/
600476318	20161118	201611	2016	2016.8712											EDU	STUDENT						EDU			0	043	043	04	1	2.8	6	1	6	1.86567164179104	0								3	Lincoln Center, Colorado, United States	US	USCO		39.7431	-104.986	2354209	3	Lincoln Center, Colorado, United States	US	USCO		39.7431	-104.986	2354209	20161118230000	http://www.csbj.com/2016/11/18/lincoln-st-barbers-builds-community/
600476319	20161118	201611	2016	2016.8712											EDU	UNIVERSITY						EDU			1	043	043	04	1	2.8	2	1	2	-6.8075117370892	0								3	Santa Clara University, California, United States	US	USCA		37.3495	-121.937	236867	3	Santa Clara University, California, United States	US	USCA		37.3495	-121.937	236867	20161118230000	http://sanfrancisco.cbslocal.com/2016/11/18/campus-sexual-assault-symposium-brock-turner-case/
600476320	20161118	201611	2016	2016.8712											EDU	STUDENT						EDU			1	084	084	08	2	7.0	5	1	5	-2.70618556701031	0								4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20161118230000	http://www.signalscv.com/2016/11/18/brief-lockdown-saugus-high-possible-weapon/
600476321	20161118	201611	2016	2016.8712											EDU	STUDENT						EDU			1	112	112	11	3	-2.0	8	1	8	-2.70618556701031	0								4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20161118230000	http://www.signalscv.com/2016/11/18/brief-lockdown-saugus-high-possible-weapon/
